ID,Nome,Cognome,Telefono,Professione,Richiami,AnnoInizio
00001,Giorgio,Greco,+394703753793,Ingegnere,1,2007
00002,Elena,Bianchi,+391362955643,Chimico,2,1996
00003,Giorgio,Neri,+398788588131,Chimico,5,2000
00004,Sara,Neri,+394017511719,Capo settore industriale,0,2019
00005,Marco,Gallo,+390745804923,Ingegnere,1,1996
00006,Giorgio,Conti,+393102226980,Informatico,2,2005
00007,Giulia,Esposito,+393620894793,Informatico,4,2011
00008,Paolo,Neri,+391377225629,Informatico,0,1999
00009,Sara,Greco,+399804230918,Chimico,4,2003
00010,Luca,Conti,+393427875150,Ingegnere,5,2006
00011,Marco,Conti,+390352091306,Capo settore industriale,3,1997
00012,Elena,Neri,+392657950169,Chimico,0,2022
00013,Sara,Verdi,+392170267705,Ingegnere,5,2011
00014,Marco,Rossi,+397343041990,Chimico,2,1997
00015,Anna,Greco,+399405513464,Informatico,2,2001
00016,Francesco,Rossi,+395442734269,Ingegnere,4,2000
00017,Francesco,Esposito,+397950579209,Capo settore industriale,3,1997
00018,Francesco,Bianchi,+397350448252,Capo settore industriale,3,2007
00019,Marco,Lombardi,+395785524529,Chimico,5,1998
00020,Sara,Conti,+391925643293,Informatico,0,2001
00021,Luca,Neri,+397060875252,Ingegnere,2,2022
00022,Sara,Esposito,+394737609775,Chimico,3,2007
00023,Luca,Lombardi,+393453529565,Capo settore industriale,5,2008
00024,Francesco,Greco,+392436267945,Chimico,4,2004
00025,Sara,Greco,+397615113379,Ingegnere,1,1997
00026,Francesco,Neri,+390314171026,Informatico,0,2006
00027,Sara,Greco,+393944988806,Chimico,3,1996
00028,Sara,Gallo,+394664043890,Capo settore industriale,3,2002
00029,Elena,Conti,+394467454216,Chimico,5,2009
00030,Chiara,Greco,+392262071968,Chimico,5,2024
00031,Paolo,Conti,+396954760344,Capo settore industriale,0,2009
00032,Sara,Bianchi,+397301956358,Ingegnere,2,1996
00033,Luca,Neri,+390911828382,Chimico,2,2023
00034,Giorgio,Rossi,+391812893035,Capo settore industriale,3,1996
00035,Anna,Bianchi,+392613706648,Capo settore industriale,0,2002
00036,Anna,Lombardi,+390321207243,Capo settore industriale,0,2018
