ID,Nome,Cognome,Telefono,Professione,Richiami,AnnoInizio
01560,Marco,Neri,+392531441191,Capo settore industriale,4,2011
01561,Giorgio,Bianchi,+399994509243,Chimico,2,2015
01562,Marco,Conti,+396447702039,Ingegnere,2,2022
01563,Sara,Verdi,+393794871110,Chimico,5,2020
01564,Marco,Verdi,+395227424363,Ingegnere,2,2000
01565,Chiara,Rossi,+394205122825,Capo settore industriale,2,1995
01566,Francesco,Gallo,+395459541776,Capo settore industriale,4,1996
01567,Anna,Esposito,+396802911267,Chimico,1,1995
01568,Francesco,Greco,+392766718368,Ingegnere,5,2004
01569,Anna,Greco,+398180073451,Chimico,0,2018
