ID,Nome,Cognome,Telefono,Professione,Richiami,AnnoInizio
01500,Anna,Verdi,+396522696310,Chimico,2,2001
01501,Francesco,Conti,+391245922744,Chimico,0,2021
01502,Chiara,Esposito,+398920259793,Chimico,0,2024
01503,Anna,Fontana,+397260019411,Informatico,2,1997
01504,Giorgio,Lombardi,+394287446833,Chimico,2,2006
01505,Anna,Lombardi,+396090366243,Capo settore industriale,1,1996
01506,Francesco,Greco,+394194429052,Informatico,0,2015
01507,Marco,Verdi,+395002076339,Informatico,3,2024
01508,Francesco,Conti,+390278824086,Ingegnere,0,2022
01509,Francesco,Verdi,+396739876994,Informatico,0,2006
01510,Giorgio,Verdi,+394881768554,Informatico,0,2013
01511,Luca,Neri,+393093926971,Ingegnere,5,2008
01512,Marco,Rossi,+393005215999,Informatico,0,2006
01513,Marco,Fontana,+393067060591,Chimico,2,1998
01514,Anna,Greco,+392858353268,Ingegnere,3,1996
01515,Sara,Esposito,+395268507335,Capo settore industriale,1,2003
01516,Elena,Conti,+397597861503,Informatico,0,2000
01517,Marco,Lombardi,+391571260790,Ingegnere,5,2013
01518,Paolo,Fontana,+394051145963,Informatico,1,1998
01519,Luca,Neri,+391933415041,Capo settore industriale,3,2005
01520,Francesco,Esposito,+398976988342,Informatico,1,2023
01521,Luca,Greco,+399776277788,Informatico,1,2020
01522,Giulia,Esposito,+391217998517,Capo settore industriale,0,1998
01523,Giorgio,Esposito,+396808906262,Capo settore industriale,1,2013
01524,Paolo,Gallo,+398817098023,Ingegnere,3,1995
01525,Marco,Bianchi,+393839148206,Informatico,5,2005
01526,Francesco,Neri,+395981671685,Chimico,2,2003
01527,Sara,Bianchi,+392204294359,Chimico,1,2002
01528,Elena,Bianchi,+393650968960,Capo settore industriale,0,2021
01529,Chiara,Rossi,+399586054899,Capo settore industriale,4,2015
01530,Giorgio,Conti,+396282600705,Ingegnere,2,1998
01531,Paolo,Greco,+396993303767,Capo settore industriale,3,1999
01532,Luca,Gallo,+391103649898,Chimico,5,1997
01533,Elena,Bianchi,+392681040739,Capo settore industriale,2,2006
01534,Francesco,Gallo,+397838996430,Informatico,0,2004
01535,Sara,Conti,+395022224651,Ingegnere,5,2018
01536,Luca,Fontana,+398574147541,Capo settore industriale,3,2020
01537,Francesco,Rossi,+398256566369,Capo settore industriale,0,2024
01538,Elena,Neri,+399440508158,Ingegnere,1,2009
01539,Giulia,Greco,+398060325837,Capo settore industriale,3,2009
01540,Francesco,Conti,+393818185310,Capo settore industriale,2,2023
01541,Giorgio,Conti,+398471819994,Capo settore industriale,2,2015
01542,Sara,Lombardi,+399291359838,Informatico,0,2001
01543,Giorgio,Greco,+397721723660,Informatico,5,2005
01544,Giorgio,Neri,+390685172798,Informatico,3,2014
01545,Chiara,Verdi,+397402984759,Chimico,1,2016
01546,Giorgio,Gallo,+392755743248,Informatico,1,2020
01547,Sara,Verdi,+392281254880,Informatico,4,2015
01548,Luca,Rossi,+392812991480,Ingegnere,0,2024
