ID,Nome,Cognome,Telefono,Professione,Richiami,AnnoInizio
00002,Elena,Bianchi,+391362955643,Chimico,2,1996
00003,Giorgio,Neri,+398788588131,Chimico,5,2000
00005,Marco,Gallo,+390745804923,Ingegnere,1,1996
00008,Paolo,Neri,+391377225629,Informatico,0,1999
00011,Marco,Conti,+390352091306,Capo settore industriale,3,1997
00014,Marco,Rossi,+397343041990,Chimico,2,1997
00015,Anna,Greco,+399405513464,Informatico,2,2001
00016,Francesco,Rossi,+395442734269,Ingegnere,4,2000
00017,Francesco,Esposito,+397950579209,Capo settore industriale,3,1997
00019,Marco,Lombardi,+395785524529,Chimico,5,1998
00020,Sara,Conti,+391925643293,Informatico,0,2001
00025,Sara,Greco,+397615113379,Ingegnere,1,1997
00027,Sara,Greco,+393944988806,Chimico,3,1996
00032,Sara,Bianchi,+397301956358,Ingegnere,2,1996
00034,Giorgio,Rossi,+391812893035,Capo settore industriale,3,1996
00042,Sara,Esposito,+396368368295,Informatico,5,1996
00046,Chiara,Esposito,+399513893620,Chimico,5,1997
00052,Anna,Esposito,+395493744196,Capo settore industriale,3,2000
00056,Sara,Lombardi,+397570861361,Ingegnere,1,1997
00062,Marco,Lombardi,+393374351751,Informatico,2,2001
00064,Marco,Conti,+391936782038,Informatico,1,1995
00067,Chiara,Fontana,+398475381146,Ingegnere,1,1999
00072,Paolo,Gallo,+397640935598,Ingegnere,1,1997
00079,Chiara,Verdi,+393256834828,Capo settore industriale,0,2001
00091,Paolo,Bianchi,+399051352901,Capo settore industriale,4,1998
00092,Marco,Bianchi,+392686836639,Informatico,0,1998
00094,Francesco,Rossi,+394875172127,Chimico,5,1998
00097,Anna,Conti,+392790337661,Informatico,0,1998
00098,Chiara,Neri,+396427364369,Informatico,3,1997
00099,Anna,Conti,+398048558586,Ingegnere,5,1999
00103,Paolo,Greco,+396091818056,Chimico,5,2000
00105,Giorgio,Verdi,+399244745284,Chimico,3,2000
00106,Francesco,Fontana,+398029212502,Ingegnere,1,1998
00109,Anna,Gallo,+397303648431,Ingegnere,2,1998
00110,Elena,Lombardi,+393639924669,Chimico,2,1999
00121,Giorgio,Fontana,+398136821124,Informatico,5,1997
00123,Chiara,Gallo,+395538333811,Informatico,1,2001
00128,Sara,Rossi,+397522873952,Capo settore industriale,4,1999
00136,Giorgio,Lombardi,+393566159841,Informatico,1,2001
00137,Marco,Fontana,+397529983068,Informatico,2,1998
00139,Marco,Fontana,+395354605045,Informatico,5,1995
00147,Anna,Greco,+396566887969,Informatico,4,1999
00151,Anna,Conti,+391725993851,Ingegnere,0,2001
00155,Giorgio,Esposito,+398465562148,Ingegnere,4,2001
00159,Chiara,Gallo,+391188659163,Informatico,0,1998
00160,Marco,Conti,+395100169288,Chimico,5,1999
00167,Marco,Neri,+390533874336,Informatico,3,2000
00178,Paolo,Verdi,+392297490439,Ingegnere,2,1995
00198,Sara,Neri,+390743124522,Informatico,5,1999
00199,Anna,Lombardi,+392038501360,Informatico,4,1997
00202,Giorgio,Conti,+398215493552,Chimico,1,2001
00214,Anna,Esposito,+395068461625,Informatico,1,1999
00215,Marco,Esposito,+397171149757,Chimico,5,2000
00220,Sara,Conti,+397214341964,Capo settore industriale,0,1996
00221,Luca,Lombardi,+392155905340,Informatico,3,1997
00227,Luca,Conti,+391372351797,Chimico,5,2000
00231,Chiara,Verdi,+391055826887,Ingegnere,2,1998
00233,Paolo,Lombardi,+391389312869,Chimico,3,1997
00235,Chiara,Verdi,+398298548058,Ingegnere,5,1998
00244,Paolo,Conti,+391683927601,Capo settore industriale,4,1999
00249,Paolo,Greco,+399035355233,Ingegnere,4,1998
00252,Sara,Fontana,+395157325472,Informatico,4,2001
00260,Elena,Bianchi,+390823797670,Chimico,0,1996
00267,Marco,Conti,+390631643362,Capo settore industriale,0,1999
00272,Giorgio,Fontana,+393487378924,Capo settore industriale,4,1996
00274,Luca,Verdi,+391501568824,Capo settore industriale,3,1996
00287,Sara,Verdi,+392895792914,Informatico,0,1998
00290,Chiara,Lombardi,+394003575887,Capo settore industriale,1,2001
00299,Sara,Esposito,+391264343791,Chimico,5,1998
00306,Luca,Lombardi,+396636854498,Capo settore industriale,1,2001
00322,Giulia,Neri,+391735862832,Chimico,1,2001
00326,Sara,Verdi,+390871036709,Chimico,2,2001
00327,Elena,Greco,+390937561245,Informatico,3,2001
00337,Luca,Neri,+395555783911,Informatico,0,1995
00344,Francesco,Lombardi,+394216257084,Chimico,1,1997
00345,Luca,Fontana,+393426720527,Capo settore industriale,2,1997
00347,Chiara,Rossi,+396026321533,Capo settore industriale,4,1999
00348,Francesco,Neri,+390204670449,Ingegnere,0,1997
00357,Paolo,Rossi,+391246951825,Informatico,2,1999
00358,Luca,Bianchi,+393366206274,Capo settore industriale,3,2000
00361,Anna,Greco,+390776442273,Capo settore industriale,2,2000
00366,Elena,Greco,+397505132224,Ingegnere,0,1998
00373,Anna,Rossi,+397493796431,Informatico,0,1998
00374,Elena,Bianchi,+392258924649,Informatico,2,2000
00376,Francesco,Greco,+394266980839,Chimico,1,1995
00377,Anna,Neri,+397503166464,Chimico,0,1995
00382,Elena,Esposito,+391836443987,Capo settore industriale,2,1999
00385,Francesco,Lombardi,+396403272194,Capo settore industriale,0,1996
00389,Francesco,Verdi,+395132660259,Capo settore industriale,2,1995
00394,Giorgio,Bianchi,+394299258424,Ingegnere,2,1999
00397,Francesco,Esposito,+394991781194,Ingegnere,3,1998
00407,Francesco,Bianchi,+396106030192,Capo settore industriale,5,2000
00408,Giorgio,Rossi,+391030545165,Informatico,5,2000
00412,Paolo,Lombardi,+397990571990,Ingegnere,4,1995
00423,Giorgio,Neri,+399769792946,Informatico,3,1996
00424,Sara,Gallo,+390125372412,Chimico,2,1999
00430,Giorgio,Fontana,+394800503391,Ingegnere,3,2001
00432,Paolo,Esposito,+398145758927,Capo settore industriale,5,2000
00438,Giulia,Verdi,+390546531256,Informatico,4,1997
00441,Chiara,Fontana,+391653135637,Capo settore industriale,0,2000
00442,Elena,Lombardi,+398849711897,Capo settore industriale,1,1997
00444,Giulia,Esposito,+394218787149,Capo settore industriale,4,1995
00447,Luca,Gallo,+396964707837,Chimico,5,1996
00448,Giulia,Bianchi,+397400964899,Chimico,5,1996
00449,Elena,Neri,+390460771273,Ingegnere,4,1999
00452,Marco,Lombardi,+396813320004,Informatico,0,2001
00469,Luca,Bianchi,+393446719642,Capo settore industriale,3,1996
00473,Sara,Fontana,+394627995171,Informatico,0,1998
00476,Francesco,Verdi,+397308851146,Chimico,0,1997
00481,Giorgio,Lombardi,+397848642826,Informatico,2,2000
00484,Francesco,Gallo,+392660530939,Informatico,3,2000
00489,Anna,Esposito,+391898163154,Chimico,0,1997
00490,Francesco,Conti,+399782715845,Chimico,0,1997
00504,Chiara,Lombardi,+398859081141,Capo settore industriale,0,1997
00506,Sara,Conti,+395843595535,Capo settore industriale,5,1996
00511,Chiara,Gallo,+391007907694,Chimico,2,2001
00522,Giorgio,Bianchi,+399364965403,Chimico,4,1995
00524,Chiara,Rossi,+395160951881,Capo settore industriale,0,1999
00525,Anna,Greco,+398343160711,Informatico,4,1996
00532,Giulia,Gallo,+397523563659,Informatico,1,1998
00533,Anna,Rossi,+399458589588,Chimico,5,1998
00537,Sara,Conti,+394259257289,Capo settore industriale,0,1997
00549,Elena,Rossi,+392990258526,Chimico,2,1997
00550,Chiara,Verdi,+393980605786,Ingegnere,3,1998
00555,Francesco,Gallo,+390162045028,Capo settore industriale,3,1998
00562,Elena,Verdi,+398782107991,Ingegnere,3,1997
00567,Paolo,Fontana,+396283248835,Ingegnere,0,1996
00568,Giorgio,Neri,+391590555552,Chimico,5,1996
00570,Giorgio,Greco,+397407426103,Capo settore industriale,3,1999
00571,Elena,Conti,+391396517912,Ingegnere,2,2000
00575,Chiara,Verdi,+397805872711,Informatico,5,1997
00576,Giulia,Verdi,+395192942264,Capo settore industriale,1,2001
00578,Marco,Neri,+392408543994,Ingegnere,4,1996
00611,Giulia,Bianchi,+393184837611,Chimico,3,1999
00614,Giorgio,Greco,+395586141049,Ingegnere,4,2001
00615,Luca,Greco,+392688958922,Informatico,1,2000
00620,Marco,Fontana,+396714699733,Capo settore industriale,3,2001
00624,Sara,Greco,+398829700846,Informatico,2,1998
00626,Luca,Esposito,+392799796752,Informatico,4,1998
00630,Giulia,Verdi,+390424997621,Chimico,0,1995
00633,Luca,Gallo,+397115292304,Ingegnere,5,1997
00645,Chiara,Rossi,+393486685035,Capo settore industriale,1,1997
00649,Anna,Rossi,+391658211490,Informatico,5,2000
