ID,Nome,Cognome,Telefono,Professione,Richiami,AnnoInizio
00003,Giorgio,Neri,+398788588131,Chimico,5,2000
00007,Giulia,Esposito,+393620894793,Informatico,4,2011
00009,Sara,Greco,+399804230918,Chimico,4,2003
00010,Luca,Conti,+393427875150,Ingegnere,5,2006
00011,Marco,Conti,+390352091306,Capo settore industriale,3,1997
00013,Sara,Verdi,+392170267705,Ingegnere,5,2011
00016,Francesco,Rossi,+395442734269,Ingegnere,4,2000
00017,Francesco,Esposito,+397950579209,Capo settore industriale,3,1997
00018,Francesco,Bianchi,+397350448252,Capo settore industriale,3,2007
00019,Marco,Lombardi,+395785524529,Chimico,5,1998
00022,Sara,Esposito,+394737609775,Chimico,3,2007
00023,Luca,Lombardi,+393453529565,Capo settore industriale,5,2008
00024,Francesco,Greco,+392436267945,Chimico,4,2004
00027,Sara,Greco,+393944988806,Chimico,3,1996
00028,Sara,Gallo,+394664043890,Capo settore industriale,3,2002
00029,Elena,Conti,+394467454216,Chimico,5,2009
00030,Chiara,Greco,+392262071968,Chimico,5,2024
00034,Giorgio,Rossi,+391812893035,Capo settore industriale,3,1996
00037,Sara,Esposito,+395521948421,Chimico,3,2024
00040,Elena,Gallo,+392491368395,Capo settore industriale,5,2024
00041,Giorgio,Fontana,+391167709892,Ingegnere,4,2021
00042,Sara,Esposito,+396368368295,Informatico,5,1996
00045,Elena,Conti,+394933562112,Chimico,4,2017
00046,Chiara,Esposito,+399513893620,Chimico,5,1997
00047,Giorgio,Lombardi,+392979794213,Chimico,5,2002
00049,Sara,Fontana,+397744905488,Chimico,5,2007
00051,Marco,Verdi,+399438059459,Ingegnere,4,2005
00052,Anna,Esposito,+395493744196,Capo settore industriale,3,2000
00054,Francesco,Gallo,+395259759921,Chimico,4,2009
00055,Luca,Fontana,+399510634398,Informatico,4,2020
00057,Elena,Verdi,+392024689290,Informatico,5,2017
00058,Francesco,Greco,+394167339481,Chimico,3,2014
00059,Paolo,Lombardi,+392221746972,Ingegnere,5,2022
00060,Anna,Esposito,+391828625086,Informatico,3,2022
00063,Giulia,Greco,+392832774906,Chimico,4,2013
00065,Elena,Gallo,+393496107606,Ingegnere,4,2016
00066,Sara,Conti,+399823423371,Informatico,4,2008
00068,Luca,Conti,+395810514724,Chimico,3,2020
00075,Elena,Esposito,+392926967485,Capo settore industriale,5,2005
00076,Luca,Esposito,+390636563843,Ingegnere,4,2002
